0.0;26.84;3.0;27.11
60.0;26.86;3.01;27.13
0.0;27.01;3.01;27.29
0.0;27.07;3.01;27.37
60.0;27.13;3.01;27.41
0.0;27.15;3.01;27.45
140.319;27.16;3.01;27.45
313.335;27.25;3.01;27.53
490.693;27.34;3.01;27.62
0.0;29.18;1.19;29.18
0.0;29.19;1.18;29.19
60.0;29.19;1.15;29.19
120.0;29.2;1.14;29.19
0.0;29.2;1.12;29.19
0.0;29.35;0.64;29.29
0.0;29.34;0.62;29.28
0.0;29.36;0.54;29.3
0.0;29.38;0.47;29.32
60.0;29.39;0.44;29.33
0.0;29.4;0.43;29.34
60.0;29.4;0.41;29.34
0.0;29.4;0.41;29.34
0.0;29.43;0.35;29.34
60.0;0.09;0.0;29.24
120.0;0.07;0.0;29.15
180.0;0.07;0.0;29.13
240.0;0.05;0.0;29.11
300.0;0.06;0.0;29.1
360.0;0.07;0.0;29.08
420.0;0.07;0.0;29.07
480.0;0.04;0.0;29.05
540.0;0.05;0.0;29.04
600.0;0.07;0.0;29.03
660.0;0.06;0.0;29.02
720.0;0.06;0.0;29.0
780.0;0.05;0.0;28.98
840.0;0.06;0.0;28.98
900.0;0.05;0.0;28.96
960.0;0.05;0.0;28.95
1020.0;0.06;0.0;28.94
1080.0;0.05;0.0;28.93
1140.0;0.05;0.0;28.92
1200.0;0.06;0.0;28.91
1260.0;0.05;0.0;28.89
1320.0;0.05;0.0;28.89
1380.0;0.05;0.0;28.88
1440.0;0.05;0.0;28.87
1500.0;0.05;0.0;28.86
1560.0;0.05;0.0;28.85
1620.0;0.04;0.0;28.83
1680.0;0.05;0.0;28.83
1740.0;0.05;0.0;28.81
1800.0;0.05;0.0;28.8
1860.0;0.05;0.0;28.8
1920.0;0.05;0.0;28.79
1980.0;0.04;0.0;28.77
2040.0;0.04;0.0;28.78
2100.0;0.04;0.0;28.76
2160.0;0.04;0.0;28.75
2220.0;0.04;0.0;28.75
2280.0;0.05;0.0;28.74
2340.0;0.04;0.0;28.73
2400.0;0.03;0.0;28.71
2460.0;0.05;0.0;28.71
2520.0;0.05;0.0;28.72
2580.0;0.05;0.0;28.7
2640.0;0.04;0.0;28.69
2700.0;0.04;0.0;28.69
2760.0;0.05;0.0;28.68
2820.0;0.05;0.0;28.67
2880.0;0.05;0.0;28.67
2940.0;0.04;0.0;28.67
3000.0;0.05;0.0;28.66
0.0;0.05;0.0;28.67
60.0;0.04;0.0;28.58
0.0;0.04;0.0;28.52
60.0;0.04;0.0;28.51
120.0;0.04;0.0;28.51
